contrast,reference,treatment,profile,n_scenarios,question,ref_mean_weighted_service_hours_lost,trt_mean_weighted_service_hours_lost,diff_weighted_service_hours_lost,diff_weighted_service_hours_lost_lo,diff_weighted_service_hours_lost_hi,ref_mean_sustained_clinical_outage_k4,trt_mean_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4,diff_sustained_clinical_outage_k4_lo,diff_sustained_clinical_outage_k4_hi,ref_mean_sustained_clinical_outage_k1,trt_mean_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1,diff_sustained_clinical_outage_k1_lo,diff_sustained_clinical_outage_k1_hi,ref_mean_ever_compromised_fraction,trt_mean_ever_compromised_fraction,diff_ever_compromised_fraction,diff_ever_compromised_fraction_lo,diff_ever_compromised_fraction_hi,share_worse,share_better
four_vs_three,dcci3,dcci4,intermediate_capacity,500,Fourth island at theta = 0.60.,21.269883333333333,19.23136666666667,-2.0385166666666668,-3.085445833333334,-1.0500716666666667,0.14,0.152,0.012,-0.014,0.038,0.378,0.344,-0.034,-0.066,-0.002,0.04210027012138409,0.03425136213408412,-0.007848907987299977,-0.009814046390863598,-0.0058947198641186825,0.264,0.384
four_vs_three,dcci3,dcci4,resource_constrained,500,Fourth island at theta = 0.60.,214.93621666666667,170.74306666666666,-44.193149999999996,-50.55565833333334,-38.050227500000005,0.84,0.79,-0.05,-0.08,-0.022,0.906,0.884,-0.022,-0.044,0.002,0.5056743016687789,0.35192898004429335,-0.15374532162448554,-0.16443189689062498,-0.143099391027619,0.208,0.744
without_local_restore,none,dcci3_nolocal,pooled,1500,The method with no restoration inside contained islands.,171.91198333333332,103.92804444444445,-67.9839388888889,-72.06640513888887,-63.91363541666667,0.6026666666666667,0.33666666666666667,-0.266,-0.2833333333333333,-0.24866666666666667,0.6726666666666666,0.5033333333333333,-0.16933333333333334,-0.186,-0.15333333333333332,0.5110618106968812,0.1853557895417488,-0.3257060211551323,-0.3360689200019833,-0.3148197298595536,0.094,0.5733333333333334
without_local_restore,none,dcci3_nolocal,high_capacity,500,The method with no restoration inside contained islands.,15.772633333333333,14.689783333333333,-1.0828499999999999,-1.4593375,-0.7626449999999999,0.056,0.014,-0.042,-0.06,-0.026,0.232,0.198,-0.034,-0.052,-0.018,0.014252164809952677,0.008292796835083386,-0.005959367974869293,-0.007394559609747454,-0.004684334926958574,0.052,0.176
without_local_restore,none,dcci3_nolocal,intermediate_capacity,500,The method with no restoration inside contained islands.,177.26833333333332,27.17301666666667,-150.09531666666666,-158.08798374999998,-141.56091541666666,0.786,0.154,-0.632,-0.672,-0.59,0.816,0.404,-0.412,-0.45605,-0.37,0.5747202750314259,0.04210027012138409,-0.5326200049100419,-0.5584130572660522,-0.506679568962505,0.012,0.808
without_local_restore,none,dcci3_nolocal,resource_constrained,500,The method with no restoration inside contained islands.,322.69498333333325,269.9213333333334,-52.773649999999996,-62.212069166666666,-43.90122541666667,0.966,0.842,-0.124,-0.154,-0.094,0.97,0.908,-0.062,-0.082,-0.042,0.9442129922492647,0.5056743016687789,-0.43853869058048595,-0.4583183271487184,-0.42067902878200203,0.218,0.736
local_restore_share,dcci3_nolocal,dcci3,pooled,1500,What local restoration adds (the part that runs through S1).,103.92804444444445,83.59567777777778,-20.332366666666665,-21.630723333333332,-19.067871944444445,0.33666666666666667,0.3273333333333333,-0.009333333333333334,-0.014666666666666666,-0.004666666666666667,0.5033333333333333,0.49066666666666664,-0.012666666666666666,-0.018666666666666668,-0.007333333333333333,0.1853557895417488,0.1853557895417488,0.0,0.0,0.0,0.002,0.42733333333333334
local_restore_share,dcci3_nolocal,dcci3,high_capacity,500,What local restoration adds (the part that runs through S1).,14.689783333333333,14.580933333333332,-0.10884999999999999,-0.19186875000000003,-0.044581250000000024,0.014,0.002,-0.012,-0.022,-0.004,0.198,0.188,-0.01,-0.02,-0.002,0.008292796835083386,0.008292796835083386,0.0,0.0,0.0,0.0,0.046
local_restore_share,dcci3_nolocal,dcci3,intermediate_capacity,500,What local restoration adds (the part that runs through S1).,27.17301666666667,21.269883333333333,-5.903133333333332,-7.127533749999999,-4.7310879166666675,0.154,0.14,-0.014,-0.024,-0.004,0.404,0.378,-0.026,-0.04,-0.014,0.04210027012138409,0.04210027012138409,0.0,0.0,0.0,0.006,0.366
local_restore_share,dcci3_nolocal,dcci3,resource_constrained,500,What local restoration adds (the part that runs through S1).,269.9213333333334,214.93621666666667,-54.98511666666667,-58.54057916666667,-51.142298333333336,0.842,0.84,-0.002,-0.006,0.0,0.908,0.906,-0.002,-0.006,0.0,0.5056743016687789,0.5056743016687789,0.0,0.0,0.0,0.0,0.87
