trial_id,scenario_id,paired,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,horizon_steps,step_minutes,total_compromised,ever_compromised_fraction,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,time_averaged_weighted_clinical_unavailability,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,ehr_available_final,laboratory_available_final,pharmacy_available_final,imaging_available_final,scheduling_available_final,identity_available_final,backup_recovery_available_final,final_service_availability_fraction,disrupted_service_recovery_fraction,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,base_spread_rate,patch_effectiveness,intra_zone_degree,cross_zone_out_degree,identity_breach_multiplier,restore_rate_fraction,no_backup_restore_penalty,service_functional_fraction,false_positive_rate,legacy_fraction,detection_delay_steps,isolated_backup_traversal,source_step_minutes,simulation_step_minutes,setting_id
920016019,92001609,1,fine_step_joint_stress,5701005,scale_2,intermediate_posture,seg_detect_backup,vendor_connection,259,260,1811,basic,0.5,0.3962,36,0.680660561,isolated,0,1,864,5,247,0.95,0.95,247,10,250,326,1,1,401,424,397,474,581,377,405,7,3059,187,0.4865536492,0.4865536492,1,168,705,1,1,1,1,1,1,1,1,1,1,1,71,0,830,0.4265928203,0.5360569355,2.404415205,3.888704903,1.398485798,0.01793674427,0.3186130489,0.7144071636,0.0001833181888,0.1598776152,24.26775659,0.06498338059,15,5,fine_lhs_016
920017000,92001700,1,fine_step_joint_stress,5701001,scale_2,intermediate_posture,baseline_flat,workstation,15,248,2829,flat,0.5,0.4718,29,0.3610537811,connected,0,0,864,5,4,0.01612903226,0.01612903226,4,1,3,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,1,1,1,1,1,1,1,1,1,1,0,1,190,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017001,92001700,1,fine_step_joint_stress,5701001,scale_2,intermediate_posture,seg_detect_backup,workstation,15,248,1896,basic,0.5,0.4718,14,0.3610537811,isolated,0,1,864,5,1,0.004032258065,0.004032258065,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,9,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017002,92001701,1,fine_step_joint_stress,5701002,scale_2,intermediate_posture,baseline_flat,internet_facing,240,244,2748,flat,0.5,0.4344,29,0.3610537811,connected,0,0,864,5,171,0.7008196721,0.7008196721,171,10,170,392,1,1,367,458,443,501,552,367,404,7,3092,189.6916667,0.5047657952,0.5047657952,1,384,810,1,1,1,1,1,1,1,1,1,1,1,60,0,828,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017003,92001701,1,fine_step_joint_stress,5701002,scale_2,intermediate_posture,seg_detect_backup,internet_facing,240,244,1841,basic,0.5,0.4344,14,0.3610537811,isolated,0,1,864,5,2,0.008196721311,0.008196721311,2,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,1,1,1,1,1,1,1,1,1,0,1,32,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017004,92001702,1,fine_step_joint_stress,5701003,scale_2,intermediate_posture,baseline_flat,privileged_system,214,229,2649,flat,0.5,0.4629,29,0.3610537811,connected,0,0,864,5,169,0.7379912664,0.7379912664,169,10,170,263,1,1,271,328,262,361,452,237,321,7,2232,134.05,0.3478690087,0.3478690087,1,192,438,1,1,1,1,1,1,1,1,1,1,1,62,0,702,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017005,92001702,1,fine_step_joint_stress,5701003,scale_2,intermediate_posture,seg_detect_backup,privileged_system,214,229,1764,basic,0.5,0.4629,14,0.3610537811,isolated,0,1,864,5,1,0.004366812227,0.004366812227,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,1,1,1,1,1,1,1,1,1,1,1,0,53,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017006,92001703,1,fine_step_joint_stress,5701004,scale_2,intermediate_posture,baseline_flat,medical_device,163,221,2437,flat,0.5,0.4299,29,0.3610537811,connected,0,0,864,5,186,0.8416289593,0.8416289593,186,10,185,354,1,1,355,403,374,491,608,355,447,7,3033,182.3833333,0.4621800109,0.4621800109,1,288,514,1,1,1,1,1,1,1,1,1,1,1,54,0,854,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017007,92001703,1,fine_step_joint_stress,5701004,scale_2,intermediate_posture,seg_detect_backup,medical_device,163,221,1644,basic,0.5,0.4299,14,0.3610537811,isolated,0,1,864,5,3,0.01357466063,0.01357466063,3,1,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,1,1,1,1,1,1,1,1,1,1,1,0,1,91,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
920017008,92001704,1,fine_step_joint_stress,5701005,scale_2,intermediate_posture,baseline_flat,vendor_connection,251,252,2924,flat,0.5,0.4087,29,0.3610537811,connected,0,0,864,5,179,0.7103174603,0.7103174603,179,10,178,330,1,1,327,382,353,431,569,327,395,7,2784,167.575,0.4261982571,0.4261982571,1,336,506,1,1,1,1,1,1,1,1,1,1,1,70,0,849,0.06377354549,0.4287960904,4.214349683,2.942282844,1.070173005,0.03731907373,0.136763226,0.4952294129,0.0003075628737,0.3432134767,9.594667982,0.0955940895,15,5,fine_lhs_017
