profile,price_region,radius,draw,guaranteed,original_retained
resource_constrained,monotone,0.25,40,29,26
resource_constrained,monotone,0.5,40,13,13
resource_constrained,monotone,0.75,40,11,11
resource_constrained,positive_gaps,0,40,38,33
resource_constrained,positive_gaps,0.1,40,37,32
resource_constrained,positive_gaps,0.25,40,30,27
resource_constrained,positive_gaps,0.5,40,13,13
resource_constrained,positive_gaps,0.75,40,11,11
resource_constrained,monotone,0,41,49,41
resource_constrained,monotone,0.1,41,48,40
resource_constrained,monotone,0.25,41,37,33
resource_constrained,monotone,0.5,41,20,17
resource_constrained,monotone,0.75,41,19,16
resource_constrained,positive_gaps,0,41,49,41
resource_constrained,positive_gaps,0.1,41,48,40
resource_constrained,positive_gaps,0.25,41,38,34
resource_constrained,positive_gaps,0.5,41,23,19
resource_constrained,positive_gaps,0.75,41,20,16
resource_constrained,monotone,0,42,48,42
resource_constrained,monotone,0.1,42,46,40
resource_constrained,monotone,0.25,42,38,33
resource_constrained,monotone,0.5,42,17,16
resource_constrained,monotone,0.75,42,15,14
resource_constrained,positive_gaps,0,42,48,42
resource_constrained,positive_gaps,0.1,42,46,40
resource_constrained,positive_gaps,0.25,42,40,35
resource_constrained,positive_gaps,0.5,42,18,16
resource_constrained,positive_gaps,0.75,42,16,14
resource_constrained,monotone,0,43,33,29
resource_constrained,monotone,0.1,43,31,28
resource_constrained,monotone,0.25,43,26,25
resource_constrained,monotone,0.5,43,14,14
resource_constrained,monotone,0.75,43,12,12
resource_constrained,positive_gaps,0,43,33,29
resource_constrained,positive_gaps,0.1,43,32,28
resource_constrained,positive_gaps,0.25,43,26,25
resource_constrained,positive_gaps,0.5,43,16,16
resource_constrained,positive_gaps,0.75,43,12,12
resource_constrained,monotone,0,44,34,29
resource_constrained,monotone,0.1,44,32,28
resource_constrained,monotone,0.25,44,25,23
resource_constrained,monotone,0.5,44,17,15
resource_constrained,monotone,0.75,44,17,15
resource_constrained,positive_gaps,0,44,34,29
resource_constrained,positive_gaps,0.1,44,33,28
resource_constrained,positive_gaps,0.25,44,26,24
resource_constrained,positive_gaps,0.5,44,18,16
resource_constrained,positive_gaps,0.75,44,17,15
resource_constrained,monotone,0,45,40,37
resource_constrained,monotone,0.1,45,39,36
resource_constrained,monotone,0.25,45,30,30
resource_constrained,monotone,0.5,45,17,17
resource_constrained,monotone,0.75,45,15,15
resource_constrained,positive_gaps,0,45,40,37
resource_constrained,positive_gaps,0.1,45,39,36
resource_constrained,positive_gaps,0.25,45,31,31
resource_constrained,positive_gaps,0.5,45,18,18
resource_constrained,positive_gaps,0.75,45,15,15
resource_constrained,monotone,0,46,33,32
resource_constrained,monotone,0.1,46,32,31
resource_constrained,monotone,0.25,46,25,24
resource_constrained,monotone,0.5,46,15,15
resource_constrained,monotone,0.75,46,14,14
resource_constrained,positive_gaps,0,46,33,32
resource_constrained,positive_gaps,0.1,46,32,31
resource_constrained,positive_gaps,0.25,46,27,26
resource_constrained,positive_gaps,0.5,46,16,16
resource_constrained,positive_gaps,0.75,46,14,14
resource_constrained,monotone,0,47,38,37
resource_constrained,monotone,0.1,47,37,36
resource_constrained,monotone,0.25,47,28,28
resource_constrained,monotone,0.5,47,16,16
resource_constrained,monotone,0.75,47,15,15
resource_constrained,positive_gaps,0,47,38,37
resource_constrained,positive_gaps,0.1,47,37,36
resource_constrained,positive_gaps,0.25,47,31,31
resource_constrained,positive_gaps,0.5,47,18,18
resource_constrained,positive_gaps,0.75,47,15,15
resource_constrained,monotone,0,48,44,37
resource_constrained,monotone,0.1,48,43,36
resource_constrained,monotone,0.25,48,35,30
resource_constrained,monotone,0.5,48,19,16
resource_constrained,monotone,0.75,48,17,14
resource_constrained,positive_gaps,0,48,44,37
resource_constrained,positive_gaps,0.1,48,43,36
resource_constrained,positive_gaps,0.25,48,36,31
resource_constrained,positive_gaps,0.5,48,20,17
resource_constrained,positive_gaps,0.75,48,17,14
resource_constrained,monotone,0,49,40,35
resource_constrained,monotone,0.1,49,39,34
resource_constrained,monotone,0.25,49,29,26
resource_constrained,monotone,0.5,49,12,12
resource_constrained,monotone,0.75,49,9,9
resource_constrained,positive_gaps,0,49,40,35
resource_constrained,positive_gaps,0.1,49,39,34
resource_constrained,positive_gaps,0.25,49,30,27
resource_constrained,positive_gaps,0.5,49,13,13
resource_constrained,positive_gaps,0.75,49,9,9
resource_constrained,monotone,0,50,49,41
resource_constrained,monotone,0.1,50,47,40
resource_constrained,monotone,0.25,50,33,30
resource_constrained,monotone,0.5,50,18,16
resource_constrained,monotone,0.75,50,15,13
resource_constrained,positive_gaps,0,50,49,41
resource_constrained,positive_gaps,0.1,50,48,40
resource_constrained,positive_gaps,0.25,50,36,33
resource_constrained,positive_gaps,0.5,50,19,16
resource_constrained,positive_gaps,0.75,50,16,13
resource_constrained,monotone,0,51,37,32
resource_constrained,monotone,0.1,51,36,31
resource_constrained,monotone,0.25,51,30,26
resource_constrained,monotone,0.5,51,14,14
resource_constrained,monotone,0.75,51,12,12
resource_constrained,positive_gaps,0,51,37,32
resource_constrained,positive_gaps,0.1,51,36,31
resource_constrained,positive_gaps,0.25,51,30,26
resource_constrained,positive_gaps,0.5,51,18,17
resource_constrained,positive_gaps,0.75,51,14,13
resource_constrained,monotone,0,52,35,32
resource_constrained,monotone,0.1,52,34,31
resource_constrained,monotone,0.25,52,25,25
resource_constrained,monotone,0.5,52,13,13
resource_constrained,monotone,0.75,52,11,11
resource_constrained,positive_gaps,0,52,35,32
resource_constrained,positive_gaps,0.1,52,34,31
resource_constrained,positive_gaps,0.25,52,26,26
resource_constrained,positive_gaps,0.5,52,15,15
resource_constrained,positive_gaps,0.75,52,11,11
resource_constrained,monotone,0,53,39,36
resource_constrained,monotone,0.1,53,37,35
resource_constrained,monotone,0.25,53,28,27
resource_constrained,monotone,0.5,53,15,15
resource_constrained,monotone,0.75,53,11,11
resource_constrained,positive_gaps,0,53,39,36
resource_constrained,positive_gaps,0.1,53,37,35
resource_constrained,positive_gaps,0.25,53,28,27
resource_constrained,positive_gaps,0.5,53,16,16
resource_constrained,positive_gaps,0.75,53,11,11
resource_constrained,monotone,0,54,41,39
