profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
intermediate_capacity,130,24,2,0,0.9166666667,42,24.93072917
high_capacity,130,10,1,0,0.9,15,13.08197917
resource_constrained,131,57,4,11,0.7794117647,25,156.9935625
intermediate_capacity,131,21,2,3,0.7916666667,59,21.05622917
high_capacity,131,11,3,1,0.6666666667,16,13.06720833
resource_constrained,132,64,9,9,0.7534246575,23,156.9935625
intermediate_capacity,132,24,5,3,0.7037037037,59,21.58458333
high_capacity,132,12,3,0,0.75,16,13.06720833
resource_constrained,133,81,17,0,0.7901234568,17,207.5997292
intermediate_capacity,133,23,4,3,0.7307692308,64,21.05622917
high_capacity,133,12,3,0,0.75,16,13.06720833
resource_constrained,134,80,16,0,0.8,10,207.6623542
intermediate_capacity,134,28,8,2,0.6666666667,38,33.0049375
high_capacity,134,11,2,0,0.8181818182,15,13.08197917
resource_constrained,135,86,23,1,0.724137931,15,207.5997292
intermediate_capacity,135,33,11,0,0.6666666667,52,24.93072917
high_capacity,135,12,3,0,0.75,16,13.06720833
resource_constrained,136,74,12,2,0.8157894737,18,156.9935625
intermediate_capacity,136,27,5,0,0.8148148148,55,24.33625
high_capacity,136,9,1,1,0.8,16,13.06720833
resource_constrained,137,80,16,0,0.8,26,156.9935625
intermediate_capacity,137,32,10,0,0.6875,59,19.73402083
high_capacity,137,10,1,0,0.9,16,13.06720833
resource_constrained,138,95,33,2,0.6391752577,19,207.5997292
intermediate_capacity,138,35,14,1,0.5833333333,52,33.0049375
high_capacity,138,12,3,0,0.75,16,13.06720833
resource_constrained,139,73,13,4,0.7792207792,19,200.584375
intermediate_capacity,139,28,6,0,0.7857142857,39,24.93072917
high_capacity,139,10,1,0,0.9,15,13.08197917
resource_constrained,140,82,29,11,0.5698924731,22,207.5997292
intermediate_capacity,140,28,6,0,0.7857142857,54,24.33625
high_capacity,140,9,0,0,1,16,13.06720833
resource_constrained,141,73,16,7,0.7125,13,207.6623542
intermediate_capacity,141,32,10,0,0.6875,40,33.0049375
high_capacity,141,9,1,1,0.8,15,13.08197917
resource_constrained,142,88,25,1,0.7078651685,13,207.6623542
intermediate_capacity,142,30,9,1,0.6774193548,47,21.58458333
high_capacity,142,13,4,0,0.6923076923,15,13.08197917
resource_constrained,143,81,23,6,0.6666666667,13,156.9935625
intermediate_capacity,143,33,11,0,0.6666666667,52,24.33625
high_capacity,143,9,1,1,0.8,16,13.06720833
resource_constrained,144,105,41,0,0.6095238095,25,156.9935625
intermediate_capacity,144,39,17,0,0.5641025641,52,24.33625
high_capacity,144,9,1,1,0.8,16,13.06720833
resource_constrained,145,71,14,7,0.7307692308,15,156.9935625
intermediate_capacity,145,25,6,3,0.6785714286,43,21.58458333
high_capacity,145,9,1,1,0.8,16,13.06720833
resource_constrained,146,75,13,2,0.8051948052,11,207.5997292
intermediate_capacity,146,28,6,0,0.7857142857,28,33.0049375
high_capacity,146,9,0,0,1,14,13.11922917
resource_constrained,147,70,10,4,0.8108108108,9,207.5997292
intermediate_capacity,147,23,3,2,0.8,28,33.0049375
high_capacity,147,9,0,0,1,15,13.08197917
resource_constrained,148,64,6,6,0.8285714286,17,200.584375
intermediate_capacity,148,24,3,1,0.84,53,24.69104167
high_capacity,148,8,0,1,0.8888888889,16,13.06720833
resource_constrained,149,78,19,5,0.7108433735,14,156.9935625
intermediate_capacity,149,18,4,8,0.5384615385,76,21.05622917
high_capacity,149,9,3,3,0.5,16,13.06720833
resource_constrained,150,103,40,1,0.6057692308,33,156.9935625
intermediate_capacity,150,35,15,2,0.5405405405,40,25.49491667
high_capacity,150,12,3,0,0.75,16,13.06720833
resource_constrained,151,72,11,3,0.8133333333,12,156.9935625
intermediate_capacity,151,28,7,1,0.724137931,43,24.93072917
high_capacity,151,7,0,2,0.7777777778,16,13.06720833
resource_constrained,152,106,42,0,0.6037735849,26,207.6623542
intermediate_capacity,152,37,15,0,0.5945945946,64,24.33625
high_capacity,152,9,1,1,0.8,16,13.06720833
resource_constrained,153,74,12,2,0.8157894737,23,156.9935625
intermediate_capacity,153,23,2,1,0.875,58,21.58458333
high_capacity,153,12,3,0,0.75,16,13.06720833
resource_constrained,154,70,10,4,0.8108108108,16,207.5997292
intermediate_capacity,154,23,3,2,0.8,43,25.49491667
high_capacity,154,11,2,0,0.8181818182,15,13.08197917
resource_constrained,155,74,13,3,0.7922077922,18,156.9935625
intermediate_capacity,155,30,9,1,0.6774193548,47,24.5055625
high_capacity,155,11,2,0,0.8181818182,15,13.08197917
resource_constrained,156,79,17,2,0.7654320988,14,207.6623542
