profile,draw,frontier_size,added,removed,jaccard,affordable_candidates,best_affordable_mean_hours_lost
high_capacity,43,11,2,0,0.8181818182,16,13.06720833
resource_constrained,44,79,17,2,0.7654320988,25,156.9935625
intermediate_capacity,44,30,9,1,0.6774193548,60,21.58458333
high_capacity,44,12,3,0,0.75,16,13.06720833
resource_constrained,45,102,42,4,0.5660377358,28,156.9935625
intermediate_capacity,45,38,16,0,0.5789473684,77,21.58458333
high_capacity,45,12,3,0,0.75,16,13.06720833
resource_constrained,46,94,32,2,0.6458333333,19,207.6623542
intermediate_capacity,46,40,18,0,0.55,53,24.93072917
high_capacity,46,9,1,1,0.8,16,13.06720833
resource_constrained,47,63,4,5,0.8676470588,14,207.5997292
intermediate_capacity,47,19,1,4,0.7826086957,44,24.5055625
high_capacity,47,8,2,3,0.5454545455,16,13.06720833
resource_constrained,48,87,23,0,0.7356321839,17,156.9935625
intermediate_capacity,48,37,15,0,0.5945945946,52,24.33625
high_capacity,48,11,3,1,0.6666666667,16,13.06720833
resource_constrained,49,93,29,0,0.688172043,19,207.5997292
intermediate_capacity,49,37,15,0,0.5945945946,50,27.79154167
high_capacity,49,9,1,1,0.8,16,13.06720833
resource_constrained,50,82,18,0,0.7804878049,17,156.9935625
intermediate_capacity,50,28,6,0,0.7857142857,61,21.58458333
high_capacity,50,12,3,0,0.75,16,13.06720833
resource_constrained,51,102,38,0,0.6274509804,24,205.5636667
intermediate_capacity,51,33,11,0,0.6666666667,83,20.11314583
high_capacity,51,9,0,0,1,16,13.06720833
resource_constrained,52,86,26,4,0.6666666667,14,207.5997292
intermediate_capacity,52,35,13,0,0.6285714286,44,24.93072917
high_capacity,52,11,2,0,0.8181818182,15,13.08197917
resource_constrained,53,69,11,6,0.7733333333,21,200.584375
intermediate_capacity,53,28,6,0,0.7857142857,68,24.33625
high_capacity,53,8,0,1,0.8888888889,16,13.06720833
resource_constrained,54,68,8,4,0.8333333333,18,156.9935625
intermediate_capacity,54,25,3,0,0.88,45,24.33625
high_capacity,54,9,0,0,1,15,13.08197917
resource_constrained,55,71,13,6,0.7532467532,15,207.6623542
intermediate_capacity,55,26,4,0,0.8461538462,40,25.49491667
high_capacity,55,12,3,0,0.75,15,13.08197917
resource_constrained,56,60,3,7,0.8507462687,26,156.9935625
intermediate_capacity,56,22,1,1,0.9130434783,81,20.11314583
high_capacity,56,9,0,0,1,16,13.06720833
resource_constrained,57,74,22,12,0.6046511628,24,156.9935625
intermediate_capacity,57,32,12,2,0.5882352941,46,33.0049375
high_capacity,57,8,0,1,0.8888888889,16,13.06720833
resource_constrained,58,65,7,6,0.8169014085,21,156.9935625
intermediate_capacity,58,21,2,3,0.7916666667,70,21.58458333
high_capacity,58,9,0,0,1,16,13.06720833
resource_constrained,59,69,10,5,0.7972972973,13,156.9935625
intermediate_capacity,59,22,3,3,0.76,43,24.5055625
high_capacity,59,8,0,1,0.8888888889,15,13.08197917
resource_constrained,60,90,26,0,0.7111111111,26,156.9935625
intermediate_capacity,60,30,8,0,0.7333333333,81,21.05622917
high_capacity,60,9,0,0,1,16,13.06720833
resource_constrained,61,63,4,5,0.8676470588,29,156.9935625
intermediate_capacity,61,23,1,0,0.9565217391,64,19.73402083
