portfolio,attacker,trial,weighted_service_hours_lost,catastrophic,identity_compromised,total_compromised
patch_90,adaptive,5,163.175,1,1,210
patch_90,naive,6,203.29999999999998,1,1,196
patch_90,adaptive,6,165.425,1,1,251
patch_90,naive,7,187.07500000000002,1,1,232
patch_90,adaptive,7,185.67499999999998,1,1,288
patch_90,naive,8,175.8,1,1,182
patch_90,adaptive,8,233.425,1,1,225
patch_90,naive,9,231.1,1,1,163
patch_90,adaptive,9,190.425,1,1,214
patch_90,naive,10,15.4,0,0,2
patch_90,adaptive,10,145.2,1,1,245
patch_90,naive,11,0.0,0,0,3
patch_90,adaptive,11,146.02499999999998,1,1,260
patch_90,naive,12,223.39999999999998,1,1,213
patch_90,adaptive,12,248.82500000000002,1,1,266
patch_90,naive,13,217.45000000000002,1,1,236
patch_90,adaptive,13,187.27499999999998,1,1,289
patch_90,naive,14,207.7,1,1,142
patch_90,adaptive,14,195.25,1,1,209
patch_90,naive,15,136.29999999999998,1,1,191
patch_90,adaptive,15,182.0,1,1,259
patch_90,naive,16,200.325,1,1,189
patch_90,adaptive,16,193.325,1,1,255
patch_90,naive,17,234.52499999999998,1,1,210
patch_90,adaptive,17,250.825,1,1,274
patch_90,naive,18,227.97500000000002,1,1,184
patch_90,adaptive,18,206.2,1,1,201
patch_90,naive,19,186.64999999999998,1,1,160
patch_90,adaptive,19,171.72500000000002,1,1,203
patch_90,naive,20,0.0,0,0,1
patch_90,adaptive,20,222.65,1,1,278
patch_90,naive,21,197.02500000000003,1,1,233
patch_90,adaptive,21,182.3,1,1,292
patch_90,naive,22,191.8,1,1,171
patch_90,adaptive,22,240.82500000000002,1,1,207
patch_90,naive,23,220.17499999999998,1,1,191
patch_90,adaptive,23,213.07500000000002,1,1,279
patch_90,naive,24,194.775,1,1,188
patch_90,adaptive,24,202.175,1,1,217
patch_90,naive,25,196.95000000000002,1,1,209
patch_90,adaptive,25,244.625,1,1,274
patch_90,naive,26,0.0,0,0,2
patch_90,adaptive,26,175.22500000000002,1,1,250
patch_90,naive,27,190.7,1,1,186
patch_90,adaptive,27,248.45000000000002,1,1,267
patch_90,naive,28,9.4,0,0,1
patch_90,adaptive,28,183.875,1,1,238
patch_90,naive,29,164.75,1,1,180
patch_90,adaptive,29,171.575,1,1,232
patch_90,naive,30,12.3,0,0,4
patch_90,adaptive,30,163.975,1,1,245
