trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
5000023,backup,20260713,regional_hospital,resource_constrained,backup_isolated,internet_facing,204,213,1516,flat,0.25,0.2394,24,0.5,isolated,0,0,199,0.9342723005,199,9,219,186,0,1,182,183,180,181,181,180,8,7,1095,214.075,0.9453125,1,85,-1,0,0.1428571429,0,1,192,
5000024,backup,20260713,regional_hospital,intermediate_capacity,backup_connected,workstation,89,243,1915,flat,0.5,0.4938,12,0.7,connected,0,0,210,0.8641975309,210,10,225,98,1,1,116,125,118,144,177,108,133,7,921,167.7,0.6479779412,1,283,158,1,0.8571428571,66,0,192,
5000025,backup,20260713,regional_hospital,intermediate_capacity,backup_connected,internet_facing,258,262,2123,flat,0.5,0.5115,12,0.7,connected,0,0,242,0.9236641221,242,10,256,130,1,1,147,166,163,185,185,147,175,7,1168,216.825,0.8517156863,1,156,-1,0,0.7142857143,77,0,192,
5000026,backup,20260713,regional_hospital,intermediate_capacity,backup_periodic,workstation,44,227,1725,flat,0.5,0.4802,12,0.7,periodic,0,0,201,0.8854625551,201,10,212,106,1,1,118,135,125,150,181,118,132,7,959,175.325,0.6793811275,1,189,160,1,0.8571428571,56,0,192,
5000027,backup,20260713,regional_hospital,intermediate_capacity,backup_periodic,internet_facing,193,201,1603,flat,0.5,0.4726,12,0.7,periodic,0,0,177,0.8805970149,177,10,192,96,1,1,113,133,122,151,184,113,139,7,955,173.4,0.6662071078,1,151,160,1,0.8571428571,58,0,192,
5000028,backup,20260713,regional_hospital,intermediate_capacity,backup_isolated,workstation,34,218,1621,flat,0.5,0.4495,12,0.7,isolated,0,0,1,0.004587155963,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,
5000029,backup,20260713,regional_hospital,intermediate_capacity,backup_isolated,internet_facing,257,259,1917,flat,0.5,0.4093,12,0.7,isolated,0,0,222,0.8571428571,222,9,236,140,0,1,140,144,143,147,160,140,8,7,882,170.4,0.7457107843,1,181,154,1,1,0,1,192,
5000030,backup,20260713,regional_hospital,high_capacity,backup_connected,workstation,14,229,1997,flat,0.75,0.7729,3,0.9,connected,0,0,73,0.3187772926,73,10,73,56,1,1,64,72,67,87,64,64,55,7,473,89.75,0.3719362745,1,660,171,1,1,30,0,192,
5000031,backup,20260713,regional_hospital,high_capacity,backup_connected,internet_facing,259,268,2392,flat,0.75,0.7201,3,0.9,connected,0,0,7,0.02611940299,7,5,6,8,1,1,0,0,8,8,8,0,0,3,24,4,0.01960784314,0,691,120,1,1,4,0,192,
5000032,backup,20260713,regional_hospital,high_capacity,backup_periodic,workstation,38,209,1802,flat,0.75,0.7321,3,0.9,periodic,0,0,1,0.004784688995,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,1,1,0,1,83,
5000033,backup,20260713,regional_hospital,high_capacity,backup_periodic,internet_facing,255,258,2159,flat,0.75,0.7054,3,0.9,periodic,0,0,3,0.01162790698,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,1,1,0,1,140,
5000034,backup,20260713,regional_hospital,high_capacity,backup_isolated,workstation,52,240,1923,flat,0.75,0.75,3,0.9,isolated,0,0,1,0.004166666667,1,1,0,7,0,0,8,8,8,8,8,8,8,7,56,10.6,0.04166666667,0,596,30,1,1,0,1,192,
5000035,backup,20260713,regional_hospital,high_capacity,backup_isolated,internet_facing,215,219,1779,flat,0.75,0.7763,3,0.9,isolated,0,0,15,0.06849315068,15,8,14,14,0,1,0,0,8,0,8,0,0,2,16,2.6,0.01102941176,0,72,16,1,1,0,1,28,
