trial_id,experiment,master_seed,facility,profile,portfolio,entry_point,entry_node,n_nodes,n_edges,segmentation,patch_coverage,realized_patch_fraction,detection_delay,isolation_success,backup_strategy,identity_controls,rapid_isolation,total_compromised,pct_compromised,peak_compromised,zones_reached,lateral_movements,containment_step,backup_compromised,identity_compromised,ehr_downtime_steps,laboratory_downtime_steps,pharmacy_downtime_steps,imaging_downtime_steps,scheduling_downtime_steps,identity_downtime_steps,backup_recovery_downtime_steps,services_disrupted_count,total_service_downtime_steps,weighted_service_hours_lost,pct_clinical_capacity_lost,catastrophic,defensive_isolation_node_steps,recovery_step,recovered_within_horizon,pct_services_restored,unrecoverable_nodes,backups_available,steps_simulated,portfolio_cost
55,main,20260713,small_clinic,intermediate_capacity,basic_segmentation,workstation,20,52,234,basic,0.5,0.5385,12,0.7,connected,0,0,29,0.5576923077,29,9,28,69,1,1,100,100,112,100,142,100,91,7,745,138.05,0.537377451,1,79,164,1,1,10,0,192,3
56,main,20260713,small_clinic,intermediate_capacity,basic_segmentation,internet_facing,52,54,251,basic,0.5,0.3704,12,0.7,connected,0,0,6,0.1111111111,6,4,5,28,0,0,0,0,0,17,0,0,0,1,17,2.975,0.01822916667,1,8,33,1,1,0,1,35,3
57,main,20260713,small_clinic,intermediate_capacity,basic_segmentation,internet_facing,54,56,242,basic,0.5,0.3929,12,0.7,connected,0,0,44,0.7857142857,44,10,44,111,1,1,136,151,140,157,185,136,145,7,1050,194.025,0.7547487745,1,41,-1,0,0.1428571429,13,0,192,3
58,main,20260713,small_clinic,intermediate_capacity,basic_segmentation,vendor_connection,45,46,207,basic,0.5,0.3043,12,0.7,connected,0,0,3,0.0652173913,3,2,2,21,0,0,8,8,8,8,8,8,0,6,48,9.4,0.04166666667,0,24,29,1,1,0,1,30,3
59,main,20260713,small_clinic,intermediate_capacity,basic_segmentation,vendor_connection,41,42,177,basic,0.5,0.5238,12,0.7,connected,0,0,3,0.07142857143,3,2,2,30,0,0,0,0,8,20,8,0,0,3,36,6.1,0.0324754902,1,48,41,1,1,0,1,49,3
60,main,20260713,small_clinic,intermediate_capacity,patch_90,workstation,12,44,306,flat,0.9,0.8182,12,0.7,connected,0,0,2,0.04545454545,2,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,19,4
61,main,20260713,small_clinic,intermediate_capacity,patch_90,workstation,10,52,347,flat,0.9,0.9038,12,0.7,connected,0,0,1,0.01923076923,1,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,1,0,1,31,4
62,main,20260713,small_clinic,intermediate_capacity,patch_90,internet_facing,51,53,364,flat,0.9,0.8302,12,0.7,connected,0,0,1,0.01886792453,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,12,4
63,main,20260713,small_clinic,intermediate_capacity,patch_90,internet_facing,46,48,331,flat,0.9,0.8125,12,0.7,connected,0,0,35,0.7291666667,35,10,36,68,1,1,111,119,115,127,159,111,82,7,824,152.825,0.6106004902,1,88,172,1,1,11,0,192,4
64,main,20260713,small_clinic,intermediate_capacity,patch_90,vendor_connection,48,49,339,flat,0.9,0.6735,12,0.7,connected,0,0,42,0.8571428571,42,10,42,91,1,1,130,133,133,145,187,121,146,7,995,182.225,0.7009803922,1,56,183,1,0.8571428571,14,0,192,4
65,main,20260713,small_clinic,intermediate_capacity,patch_90,vendor_connection,43,44,313,flat,0.9,0.8182,12,0.7,connected,0,0,38,0.8636363636,38,10,38,80,1,1,130,127,137,139,168,127,110,7,938,174.925,0.6927083333,1,56,156,1,1,12,0,192,4
66,main,20260713,small_clinic,intermediate_capacity,fast_detection,workstation,0,57,393,flat,0.5,0.4386,6,0.95,connected,0,1,5,0.08771929825,5,2,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,0,1,44,8
67,main,20260713,small_clinic,intermediate_capacity,fast_detection,workstation,3,56,377,flat,0.5,0.4464,6,0.95,connected,0,1,1,0.01785714286,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,0,1,25,8
68,main,20260713,small_clinic,intermediate_capacity,fast_detection,internet_facing,45,47,320,flat,0.5,0.4043,6,0.95,connected,0,1,28,0.5957446809,28,9,27,50,0,1,51,51,57,56,63,51,16,7,345,65.75,0.2792585784,1,48,59,1,1,0,1,79,8
69,main,20260713,small_clinic,intermediate_capacity,fast_detection,internet_facing,44,46,317,flat,0.5,0.3261,6,0.95,connected,0,1,37,0.8043478261,37,9,36,52,1,1,83,83,83,95,127,83,86,7,640,116.925,0.4451593137,1,78,97,1,1,9,0,192,8
70,main,20260713,small_clinic,intermediate_capacity,fast_detection,vendor_connection,56,57,372,flat,0.5,0.3684,6,0.95,connected,0,1,31,0.5438596491,31,10,31,67,1,1,66,90,91,67,85,66,99,7,564,104.9,0.4087009804,1,64,93,1,1,7,0,182,8
71,main,20260713,small_clinic,intermediate_capacity,fast_detection,vendor_connection,57,58,386,flat,0.5,0.431,6,0.95,connected,0,1,3,0.05172413793,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9,8
72,main,20260713,small_clinic,intermediate_capacity,isolated_backups,workstation,16,43,269,flat,0.5,0.5349,12,0.7,isolated,0,0,1,0.02325581395,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,2
73,main,20260713,small_clinic,intermediate_capacity,isolated_backups,workstation,15,54,346,flat,0.5,0.463,12,0.7,isolated,0,0,45,0.8333333333,45,9,44,108,0,1,113,116,111,118,136,111,0,6,705,135.65,0.5948223039,1,56,122,1,1,0,1,163,2
74,main,20260713,small_clinic,intermediate_capacity,isolated_backups,internet_facing,53,55,348,flat,0.5,0.4727,12,0.7,isolated,0,0,47,0.8545454545,47,9,48,88,0,1,93,93,106,97,107,93,16,7,605,116.7,0.5065870098,1,64,143,1,1,0,1,146,2
75,main,20260713,small_clinic,intermediate_capacity,isolated_backups,internet_facing,53,55,356,flat,0.5,0.4545,12,0.7,isolated,0,0,1,0.01818181818,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,9,2
76,main,20260713,small_clinic,intermediate_capacity,isolated_backups,vendor_connection,50,51,327,flat,0.5,0.2941,12,0.7,isolated,0,0,42,0.8235294118,42,9,43,163,0,1,164,163,161,171,183,151,8,7,1001,193.225,0.8563112745,1,56,177,1,1,0,1,192,2
77,main,20260713,small_clinic,intermediate_capacity,isolated_backups,vendor_connection,56,57,356,flat,0.5,0.4737,12,0.7,isolated,0,0,49,0.8596491228,49,9,51,73,0,1,81,84,82,88,96,81,0,6,512,98.725,0.4344362745,1,16,89,1,1,0,1,117,2
78,main,20260713,small_clinic,intermediate_capacity,full_defense,workstation,6,51,185,least_privilege,0.9,0.8627,6,0.95,isolated,1,1,1,0.01960784314,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,9,23
79,main,20260713,small_clinic,intermediate_capacity,full_defense,workstation,6,59,220,least_privilege,0.9,0.7627,6,0.95,isolated,1,1,1,0.01694915254,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,23
80,main,20260713,small_clinic,intermediate_capacity,full_defense,internet_facing,45,47,162,least_privilege,0.9,0.9149,6,0.95,isolated,1,1,1,0.02127659574,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,23
81,main,20260713,small_clinic,intermediate_capacity,full_defense,internet_facing,46,48,170,least_privilege,0.9,0.8333,6,0.95,isolated,1,1,1,0.02083333333,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,23
82,main,20260713,small_clinic,intermediate_capacity,full_defense,vendor_connection,55,56,208,least_privilege,0.9,0.7857,6,0.95,isolated,1,1,1,0.01785714286,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,23
