profile,method,portfolio,baseline,mean_benefit,margin,lower_benefit,family_size,alpha
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,76.36264583,106.3153705,-29.95272464,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,37.27958333,106.3153705,-69.03578715,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det0|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,42.30552083,106.3153705,-64.00984965,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso0|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,141.9735417,106.3153705,35.65817119,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,149.9612708,106.3153705,43.64590036,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,175.89,106.3153705,69.57462952,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,181.8367917,106.3153705,75.52142119,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,146.4912708,106.3153705,40.17590036,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,153.5935208,106.3153705,47.27815036,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,150.946875,106.3153705,44.63150452,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,158.0143333,106.3153705,51.69896286,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,183.27075,106.3153705,76.95537952,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,188.2469583,106.3153705,81.93158786,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,155.3698125,106.3153705,49.05444202,276048,0.05
resource_constrained,hoeffding,seg-basic|patch+3|det1|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,161.6749583,106.3153705,55.35958785,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.5239374972,106.3153705,-105.791433,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,51.67472917,106.3153705,-54.64064131,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,51.81914583,106.3153705,-54.49622464,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.3531250008,106.3153705,-105.9622455,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,0.8494791652,106.3153705,-105.4658913,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,3.515395833,106.3153705,-102.7999746,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,4.037104164,106.3153705,-102.2782663,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,54.79522917,106.3153705,-51.52014131,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,55.5149375,106.3153705,-50.80043298,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,3.927083332,106.3153705,-102.3882871,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det0|iso1|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,5.223520831,106.3153705,-101.0918496,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso0|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,114.4716875,106.3153705,8.156317022,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso0|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,114.5006667,106.3153705,8.18529619,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso0|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,165.1404792,106.3153705,58.82510869,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso0|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,165.2757917,106.3153705,58.96042119,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso0|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,114.5343125,106.3153705,8.218942021,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso0|bak-periodic|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,115.1647708,106.3153705,8.849400357,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso1|bak-connected|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,117.4507292,106.3153705,11.13535869,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso1|bak-connected|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,117.4378958,106.3153705,11.12252536,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso1|bak-isolated|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,167.7840417,106.3153705,61.46867119,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso1|bak-isolated|idm1,seg-flat|patch+0|det0|iso0|bak-connected|idm0,168.169375,106.3153705,61.85400452,276048,0.05
resource_constrained,hoeffding,seg-flat|patch+0|det1|iso1|bak-periodic|idm0,seg-flat|patch+0|det0|iso0|bak-connected|idm0,118.1592292,106.3153705,11.84385869,276048,0.05
