facility,profile,portfolio,metric,n,mean,median,std,iqr,p90,p95,ci95_lo,ci95_hi
large_hospital,high_capacity,patch_plus_least_privilege,identity_compromised,125,0.056,0,0.2308469679,0,0,0.8,0.016,0.104
large_hospital,high_capacity,patch_plus_least_privilege,recovered_within_horizon,125,0.896,1,0.3064889621,0,1,1,0.84,0.944
large_hospital,high_capacity,patch_plus_least_privilege,pct_clinical_capacity_lost,125,0.03084068627,0.02328431373,0.02709994356,0.04044117647,0.0625,0.07916666667,0.0260609375,0.03560664828
large_hospital,high_capacity,patch_plus_least_privilege,defensive_isolation_node_steps,125,2611.72,2638,256.6506852,383,2914,2958.4,2566.276,2656.0872
large_hospital,high_capacity,profile_baseline,weighted_service_hours_lost,125,6.3282,3.8,5.792317089,8.4,13.54,16.115,5.31611,7.386655
large_hospital,high_capacity,profile_baseline,pct_compromised,125,0.002332027975,0.001305483029,0.001675713252,0.002020392202,0.005114119544,0.005881125486,0.002053139374,0.002627363514
large_hospital,high_capacity,profile_baseline,catastrophic,125,0.056,0,0.2308469679,0,0,0.8,0.024,0.096
large_hospital,high_capacity,profile_baseline,total_service_downtime_steps,125,33.568,24,29.44029935,40,72,81,28.3278,38.8646
large_hospital,high_capacity,profile_baseline,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,high_capacity,profile_baseline,identity_compromised,125,0.064,0,0.2457378619,0,0,1,0.024,0.112
large_hospital,high_capacity,profile_baseline,recovered_within_horizon,125,0.936,1,0.2457378619,0,1,1,0.888,0.976
large_hospital,high_capacity,profile_baseline,pct_clinical_capacity_lost,125,0.02882720588,0.02083333333,0.02757248882,0.04166666667,0.06078431372,0.07843137255,0.02410459559,0.03377824755
large_hospital,high_capacity,profile_baseline,defensive_isolation_node_steps,125,2597.208,2574,266.9707395,408,2939,3030.4,2549.4126,2645.8992
large_hospital,high_capacity,seg_detect_backup,weighted_service_hours_lost,125,6.9392,4.4,6.122340878,8.4,14.72,20.8,5.816575,8.004775
large_hospital,high_capacity,seg_detect_backup,pct_compromised,125,0.001446299753,0.001212121212,0.0006202860675,0.000246325058,0.002395121071,0.002653934527,0.001339731855,0.00156522802
large_hospital,high_capacity,seg_detect_backup,catastrophic,125,0.04,0,0.1967477507,0,0,0,0.008,0.0722
large_hospital,high_capacity,seg_detect_backup,total_service_downtime_steps,125,36.192,24,31.00304251,40,78.2,105.6,30.4638,41.536
large_hospital,high_capacity,seg_detect_backup,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,high_capacity,seg_detect_backup,identity_compromised,125,0.072,0,0.2595281077,0,0,1,0.032,0.12
large_hospital,high_capacity,seg_detect_backup,recovered_within_horizon,125,0.92,1,0.2723849269,0,1,1,0.872,0.968
large_hospital,high_capacity,seg_detect_backup,pct_clinical_capacity_lost,125,0.03198529412,0.02205882353,0.02858546104,0.04044117647,0.06587009804,0.09558823529,0.02689877451,0.03696905637
large_hospital,high_capacity,seg_detect_backup,defensive_isolation_node_steps,125,2589.616,2625,345.6454174,407,2905.6,3028.2,2528.7256,2645.6248
large_hospital,high_capacity,seg_plus_detection,weighted_service_hours_lost,125,6.6172,4.2,5.921155701,9.4,14.46,19.16,5.57235,7.67736
large_hospital,high_capacity,seg_plus_detection,pct_compromised,125,0.001311329241,0.001179245283,0.000413505783,0.000174486981,0.002106613806,0.002339232129,0.001237494765,0.00138792973
large_hospital,high_capacity,seg_plus_detection,catastrophic,125,0.056,0,0.2308469679,0,0,0.8,0.024,0.0962
large_hospital,high_capacity,seg_plus_detection,total_service_downtime_steps,125,35.384,24,30.5790314,40,76.6,102.6,30.104,41.017
large_hospital,high_capacity,seg_plus_detection,backup_compromised,125,0,0,0,0,0,0,0,0
large_hospital,high_capacity,seg_plus_detection,identity_compromised,125,0.056,0,0.2308469679,0,0,0.8,0.024,0.0962
large_hospital,high_capacity,seg_plus_detection,recovered_within_horizon,125,0.864,1,0.344168001,0,1,1,0.8,0.9202
large_hospital,high_capacity,seg_plus_detection,pct_clinical_capacity_lost,125,0.029625,0.02083333333,0.02691634372,0.04044117647,0.0693627451,0.08431372549,0.02492506128,0.03443204657
large_hospital,high_capacity,seg_plus_detection,defensive_isolation_node_steps,125,2575.48,2576,343.6267808,362,2921.2,3057,2510.946,2631.8486
large_hospital,high_capacity,seg_plus_patch,weighted_service_hours_lost,125,6.5384,4,6.804632957,8.2,12.96,17.36,5.428125,7.77745
large_hospital,high_capacity,seg_plus_patch,pct_compromised,125,0.002273082424,0.001251564456,0.002149289116,0.001389565265,0.004061935216,0.006554321018,0.001932109986,0.002676721331
large_hospital,high_capacity,seg_plus_patch,catastrophic,125,0.072,0,0.2595281077,0,0,1,0.032,0.128
large_hospital,high_capacity,seg_plus_patch,total_service_downtime_steps,125,34.224,24,35.09867749,46,67.6,87.8,28.4952,40.6966
large_hospital,high_capacity,seg_plus_patch,backup_compromised,125,0.016,0,0.1259800291,0,0,0,0,0.04
large_hospital,high_capacity,seg_plus_patch,identity_compromised,125,0.096,0,0.2957767249,0,0,1,0.048,0.152
large_hospital,high_capacity,seg_plus_patch,recovered_within_horizon,125,0.944,1,0.2308469679,0,1,1,0.904,0.984
large_hospital,high_capacity,seg_plus_patch,pct_clinical_capacity_lost,125,0.0308504902,0.02083333333,0.03132967022,0.0330882353,0.06078431372,0.08529411765,0.02570318627,0.03652159927
large_hospital,high_capacity,seg_plus_patch,defensive_isolation_node_steps,125,2582.024,2611,260.0266259,416,2918,2993.8,2535.756,2627.1004
large_hospital,intermediate_capacity,baseline_flat,weighted_service_hours_lost,125,206.08,221.85,58.05253105,27.65,241.885,243.46,195.068835,215.11568
large_hospital,intermediate_capacity,baseline_flat,pct_compromised,125,0.8154587824,0.8778026906,0.2280396754,0.0214247918,0.8933686256,0.8979075768,0.7729811999,0.8505465068
large_hospital,intermediate_capacity,baseline_flat,catastrophic,125,0.928,1,0.2595281077,0,1,1,0.88,0.968
large_hospital,intermediate_capacity,baseline_flat,total_service_downtime_steps,125,1101.224,1188,307.6496191,124,1277.4,1286.4,1042.7652,1148.754
large_hospital,intermediate_capacity,baseline_flat,backup_compromised,125,0.928,1,0.2595281077,0,1,1,0.88,0.968
large_hospital,intermediate_capacity,baseline_flat,identity_compromised,125,0.928,1,0.2595281077,0,1,1,0.88,0.968
large_hospital,intermediate_capacity,baseline_flat,recovered_within_horizon,125,0.272,0,0.4467805985,1,1,1,0.192,0.352
large_hospital,intermediate_capacity,baseline_flat,pct_clinical_capacity_lost,125,0.8099497549,0.8723958333,0.2282237235,0.1156556372,0.9523590686,0.9603860294,0.7670522365,0.8457211091
large_hospital,intermediate_capacity,baseline_flat,defensive_isolation_node_steps,125,746.576,593,514.0965967,158,861.2,2348.2,668.0308,840.9994
large_hospital,intermediate_capacity,basic_segmentation,weighted_service_hours_lost,125,167.2176,210.025,89.57066204,41.7,232.24,236.555,151.72039,183.10244
large_hospital,intermediate_capacity,basic_segmentation,pct_compromised,125,0.5713693888,0.7351485149,0.3152569817,0.0786441952,0.7715267635,0.7799419578,0.5174729923,0.6266227523
large_hospital,intermediate_capacity,basic_segmentation,catastrophic,125,0.784,1,0.4131702765,0,1,1,0.712,0.856
large_hospital,intermediate_capacity,basic_segmentation,total_service_downtime_steps,125,886.456,1114,474.4492138,210,1226,1248.2,804.5422,970.777
large_hospital,intermediate_capacity,basic_segmentation,backup_compromised,125,0.768,1,0.4238076253,0,1,1,0.696,0.84
large_hospital,intermediate_capacity,basic_segmentation,identity_compromised,125,0.784,1,0.4131702765,0,1,1,0.712,0.856
large_hospital,intermediate_capacity,basic_segmentation,recovered_within_horizon,125,0.256,0,0.438178046,1,1,1,0.176,0.336
large_hospital,intermediate_capacity,basic_segmentation,pct_clinical_capacity_lost,125,0.660817402,0.8272058824,0.3518100932,0.1757046569,0.9213541667,0.9360294118,0.5996738971,0.7235182904
large_hospital,intermediate_capacity,basic_segmentation,defensive_isolation_node_steps,125,1450.024,1161,664.043521,415,2649.8,2826.8,1333.509,1564.3978
