condition,profile,n,architecture,shielded,kind,spread,hours,p_outage_k4,p_outage_k1,self_inflicted_steps,p_any_self_inflicted,shield_interventions,share_connected,share_disconnect,share_zone_lockdown,share_islands,share_micro_lockdown
q_containment_replicas,resource_constrained,200,replicas,0,learned,0.15184786341332296,81.31683333333335,0.175,0.645,158.875,0.99,0.0,0.00046811609279101215,0.1455841048580048,0.00023405804639550608,0.8537137210028087,0.0
q_containment_replicas,intermediate_capacity,200,replicas,0,learned,0.013099872217574639,107.91920833333333,0.07,0.43,239.98,0.99,0.0,0.0004750781899520963,0.3677105190229225,0.000380062551961677,0.6314343402351636,0.0
q_containment_replicas,high_capacity,200,replicas,0,learned,0.004773081130414757,133.8574583333333,0.02,0.5,301.98,0.96,0.0,9.885574475446704e-05,0.48577712972345105,0.0,0.5141240145317945,0.0
q_containment_replicas_shielded,resource_constrained,200,replicas,1,learned,0.6585871282497077,265.6745833333333,0.915,0.935,0.0,0.0,1.305,0.11885781920402426,0.1461873058144696,0.0003550821127385708,0.7345997928687675,0.0
q_containment_replicas_shielded,intermediate_capacity,200,replicas,1,learned,0.14920921411727647,63.53758333333333,0.52,0.575,0.0,0.0,2.125,0.3955111965289304,0.039610087067936284,0.0033196470691010745,0.5615590693340322,0.0
q_containment_replicas_shielded,high_capacity,200,replicas,1,learned,0.007720507947623127,8.876166666666666,0.005,0.035,0.0,0.0,0.8,0.8366294514958416,0.006337575747052593,0.0006250759640928585,0.15640789679301303,0.0
q_soft_today,resource_constrained,200,today,0,learned,0.671898488552332,292.3310833333333,0.935,0.945,57.885,1.0,0.0,0.11963359114940278,0.5130458194634815,0.3673205893871157,0.0,0.0
q_soft_today,intermediate_capacity,200,today,0,learned,0.11562862234947886,110.31233333333334,0.65,0.725,105.875,1.0,0.0,0.31793022413703914,0.2618700995425624,0.42019967632039845,0.0,0.0
q_soft_today,high_capacity,200,today,0,learned,0.005385519619370782,39.420458333333336,0.19,0.39,58.185,1.0,0.0,0.4793684122118171,0.10773947003737454,0.41289211775080836,0.0,0.0
q_soft_today_shielded,resource_constrained,200,today,1,learned,0.8280461216542121,328.9597083333333,0.975,0.98,0.0,0.0,0.645,0.11552601892604347,0.5105648003647267,0.3739091807092298,0.0,0.0
q_soft_today_shielded,intermediate_capacity,200,today,1,learned,0.3515662890636594,163.49933333333334,0.795,0.825,0.0,0.0,0.97,0.24449101456227948,0.2497238406039527,0.5057851448337678,0.0,0.0
q_soft_today_shielded,high_capacity,200,today,1,learned,0.01329884628766716,14.613666666666665,0.025,0.2,0.0,0.0,0.31,0.6720547093565433,0.01501571512451214,0.3129295755189445,0.0,0.0
q_soft_replicas,resource_constrained,200,replicas,0,learned,0.1309718044494873,110.19541666666666,0.49,0.625,211.47,0.965,0.0,0.0,0.28204008473195374,0.0,0.7179599152680463,0.0
q_soft_replicas,intermediate_capacity,200,replicas,0,learned,0.011696537709709166,19.249458333333333,0.025,0.18,53.85,0.89,0.0,0.0,0.04604862851996982,0.0,0.9539513714800302,0.0
q_soft_replicas,high_capacity,200,replicas,0,learned,0.004773081130414757,9.288499999999999,0.0,0.115,33.47,0.73,0.0,0.0,0.01344718851255679,0.0,0.9865528114874432,0.0
q_soft_replicas_shielded,resource_constrained,200,replicas,1,learned,0.6103312857065506,258.41004166666664,0.865,0.87,0.0,0.0,2.19,0.05763423920178548,0.5109265160466421,0.0030076264814350674,0.42843161827013737,0.0
q_soft_replicas_shielded,intermediate_capacity,200,replicas,1,learned,0.08929792267173799,45.065,0.315,0.35,0.0,0.0,2.575,0.10059611399741734,0.10310369680771195,0.007207423646355747,0.7890927655485149,0.0
q_soft_replicas_shielded,high_capacity,200,replicas,1,learned,0.0066156334015442545,4.864333333333333,0.005,0.03,0.0,0.0,2.055,0.09170385289878978,0.0015192818571701423,0.0018752278922785756,0.9049016373517615,0.0
q_clinical_today,resource_constrained,200,today,0,learned,0.8197871458094332,320.10799999999995,0.96,0.97,5.16,0.555,0.0,0.03986921582324178,0.49787211561602984,0.46225866856072834,0.0,0.0
