family,reference,treatment,profile,n,d_weighted_service_hours_lost,d_weighted_service_hours_lost_lo,d_weighted_service_hours_lost_hi,d_sustained_clinical_outage_k4,d_sustained_clinical_outage_k4_lo,d_sustained_clinical_outage_k4_hi,d_sustained_clinical_outage_k1,d_sustained_clinical_outage_k1_lo,d_sustained_clinical_outage_k1_hi,d_ever_compromised_fraction,d_ever_compromised_fraction_lo,d_ever_compromised_fraction_hi,share_worse_hours,share_better_hours
vs_passive,passive,micro_lockdown_upper_bound,resource_constrained,200,23.179458333333333,16.852083333333336,29.235576041666658,-0.005,-0.015,0.0,-0.005,-0.015,0.0,-0.17708944873621418,-0.18953726675798863,-0.16604838788267548,0.57,0.275
vs_passive,passive_replicas,islands,pooled,600,-13.988930555555555,-18.439210763888887,-9.409848958333335,-0.03833333333333333,-0.055,-0.021666666666666667,-0.07666666666666666,-0.09837499999999999,-0.055,-0.14116909694618524,-0.15141139885294488,-0.13140472850434992,0.25,0.625
vs_passive,passive_replicas,islands,high_capacity,200,-4.236958333333333,-5.052013541666667,-3.485292708333333,-0.035,-0.06,-0.01,-0.16,-0.215,-0.11,-0.003346716002031623,-0.004782771681777254,-0.0020353481733555293,0.07,0.705
vs_passive,passive_replicas,islands,intermediate_capacity,200,-47.60949999999999,-60.10773958333334,-35.17626666666666,-0.075,-0.115,-0.035,-0.06,-0.1,-0.02,-0.2907511901730749,-0.31951164081669853,-0.26144521260600284,0.21,0.755
vs_passive,passive_replicas,islands,resource_constrained,200,9.879666666666667,3.9722864583333326,15.552365624999998,-0.005,-0.015,0.0,-0.01,-0.025,0.0,-0.12940938466344926,-0.1411515978309704,-0.12029740683730338,0.47,0.415
vs_passive,passive_replicas,islands_shielded,pooled,600,-11.830958333333335,-16.41271597222222,-7.335724652777778,-0.03166666666666667,-0.04833333333333333,-0.016666666666666666,-0.08333333333333333,-0.10666666666666667,-0.06,-0.13526150875386658,-0.14532103904303592,-0.12547381874731958,0.235,0.6333333333333333
vs_passive,passive_replicas,islands_shielded,high_capacity,200,-5.415416666666666,-6.281376041666667,-4.621663541666667,-0.035,-0.06,-0.01,-0.175,-0.225125,-0.125,-0.003228722202558584,-0.004771893430700153,-0.0019462929930395211,0.015,0.755
vs_passive,passive_replicas,islands_shielded,intermediate_capacity,200,-42.50216666666666,-54.22149270833334,-30.71109479166667,-0.055,-0.095,-0.02,-0.065,-0.105,-0.03,-0.2747106318798284,-0.30279716157701164,-0.24646203759179947,0.2,0.765
vs_passive,passive_replicas,islands_shielded,resource_constrained,200,12.424708333333333,6.366165625,18.43053645833333,-0.005,-0.015,0.0,-0.01,-0.025,0.0,-0.12784517217921273,-0.1391899268382754,-0.11852057092961629,0.49,0.38
shield_effect,islands,islands_shielded,pooled,600,2.157972222222222,-0.9072597222222228,5.056807638888884,0.006666666666666667,0.0,0.015,-0.006666666666666667,-0.016666666666666666,0.0033333333333333335,0.005907588192318666,0.001423043208161795,0.010016946507617093,0.185,0.43833333333333335
shield_effect,islands,islands_shielded,high_capacity,200,-1.1784583333333334,-1.434790625,-0.926321875,0.0,0.0,0.0,-0.015,-0.035,0.0,0.00011799379947303982,1.9083969465648852e-05,0.00026660738566342733,0.02,0.555
shield_effect,islands,islands_shielded,intermediate_capacity,200,5.107333333333333,-3.8054635416666667,13.7753375,0.02,-0.005,0.045,-0.005,-0.03,0.02,0.01604055829324647,0.002875447424145654,0.028585705514437308,0.315,0.515
shield_effect,islands,islands_shielded,resource_constrained,200,2.5450416666666653,-0.1554614583333348,5.433670833333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0015642124842364929,-0.001571314650822821,0.0046216126362729915,0.22,0.245
vs_passive,passive,q_containment_today,pooled,600,4.908458333333333,-5.197177083333333,14.83385451388889,0.015,-0.015,0.045,0.03333333333333333,0.0033333333333333335,0.06166666666666667,-0.37277605077418763,-0.39203808146818436,-0.3537721074779236,0.7733333333333333,0.22666666666666666
vs_passive,passive,q_containment_today,high_capacity,200,39.51329166666667,29.733122916666662,50.86592812499999,0.195,0.135,0.255,0.2,0.145,0.26,-0.009008937182159308,-0.011456258026588183,-0.00682651720075565,0.99,0.01
vs_passive,passive,q_containment_today,intermediate_capacity,200,-13.179499999999997,-34.26191770833333,9.896152083333323,-0.105,-0.17,-0.045,-0.06,-0.12,0.0,-0.5563175251504631,-0.5967862877573032,-0.5152550016140863,0.575,0.425
vs_passive,passive,q_containment_today,resource_constrained,200,-11.608416666666669,-29.609668750000004,4.658436458333319,-0.045,-0.075,-0.015,-0.04,-0.07,-0.01,-0.5530016899899405,-0.5900863987792512,-0.5158513498882603,0.755,0.245
vs_passive,passive,q_containment_today_shielded,pooled,600,-24.9265,-28.957132291666667,-20.74554965277778,-0.006666666666666667,-0.013333333333333334,-0.0016666666666666668,-0.005,-0.011666666666666667,0.0,-0.20495497758140932,-0.21582408439960943,-0.19422286672432912,0.32166666666666666,0.46166666666666667
vs_passive,passive,q_containment_today_shielded,high_capacity,200,0.1719583333333334,-0.21032499999999998,0.4295843750000001,-0.02,-0.04,-0.005,-0.015,-0.035,0.0,-0.0010956105138629308,-0.0020776280311901427,-0.0003181082769296014,0.45,0.04
vs_passive,passive,q_containment_today_shielded,intermediate_capacity,200,-61.18454166666666,-70.80814166666666,-50.382181249999995,0.0,0.0,0.0,0.0,0.0,0.0,-0.363515150534839,-0.39227898852181564,-0.33248813321614923,0.225,0.675
vs_passive,passive,q_containment_today_shielded,resource_constrained,200,-13.766916666666667,-21.050014583333333,-7.0592364583333405,0.0,0.0,0.0,0.0,0.0,0.0,-0.25025417169552616,-0.2626550742947605,-0.2379320900838897,0.29,0.67
shield_effect,q_containment_today,q_containment_today_shielded,pooled,600,-29.83495833333333,-39.07841736111111,-20.39806597222222,-0.021666666666666667,-0.051666666666666666,0.01,-0.03833333333333333,-0.06833333333333333,-0.006666666666666667,0.16782107319277828,0.15398322269752424,0.1820288324633545,0.205,0.795
shield_effect,q_containment_today,q_containment_today_shielded,high_capacity,200,-39.34133333333333,-49.72581875000001,-29.735328125,-0.215,-0.275,-0.155,-0.215,-0.275,-0.15,0.007913326668296378,0.006154539932562884,0.01003363383743554,0.005,0.995
shield_effect,q_containment_today,q_containment_today_shielded,intermediate_capacity,200,-48.00504166666666,-67.57779479166666,-26.592665625000002,0.105,0.045,0.17,0.06,0.0,0.125,0.19280237461562413,0.17139317008906194,0.21557782514074975,0.42,0.58
shield_effect,q_containment_today,q_containment_today_shielded,resource_constrained,200,-2.1584999999999956,-19.565122916666663,15.085079166666658,0.045,0.015,0.08,0.04,0.01,0.07,0.30274751829441426,0.263712101126814,0.33971865796603296,0.19,0.81
vs_passive,passive_replicas,q_containment_replicas,pooled,600,-68.61670833333332,-76.82930312500001,-60.30406875,-0.5166666666666667,-0.5466666666666666,-0.48662500000000025,-0.14833333333333334,-0.19166666666666668,-0.105,-0.46197154400155377,-0.4789148181247612,-0.4447275325828492,0.42333333333333334,0.565
vs_passive,passive_replicas,q_containment_replicas,high_capacity,200,119.28904166666668,109.48656249999999,128.5269333333333,-0.025,-0.06,0.01,0.285,0.205,0.365,-0.009621375671115333,-0.01200246407992387,-0.00747570543370944,0.95,0.015
vs_passive,passive_replicas,q_containment_replicas,intermediate_capacity,200,-78.871375,-96.76941458333333,-61.34648020833334,-0.725,-0.785,-0.6648750000000008,-0.395,-0.475,-0.315,-0.5793388793826064,-0.6208634173322598,-0.5350716763389886,0.295,0.705
vs_passive,passive_replicas,q_containment_replicas,resource_constrained,200,-246.26779166666668,-259.467909375,-232.5564364583333,-0.8,-0.855,-0.74,-0.335,-0.4,-0.275,-0.7969543769509397,-0.821618309812849,-0.7693726113364261,0.025,0.975
vs_passive,passive_replicas,q_containment_replicas_shielded,pooled,600,-63.618430555555555,-69.2532579861111,-58.02714618055556,-0.125,-0.15,-0.10166666666666667,-0.15833333333333333,-0.18504166666666666,-0.13,-0.24670619948378886,-0.26202135743357424,-0.23166378079060473,0.055,0.8333333333333334
